String Move,Force X,Force Y,Force Z,Force Rx,Force Ry,Force Rz,Time,Speed,Accel
D3 on D,-0.18114599003484994,1.9994500058624196,-0.9924963297320879,0.1461548984484845,-0.052238042888431244,-0.34310835279454255,57.85628795623779,0.26706544149457334,0.44713415387683364
D3 on D,-0.18114599003484994,1.9994500058624196,-0.9924963297320879,0.1461548984484845,-0.052238042888431244,-0.34310835279454255,57.85628795623779,0.2670654414945733,3.888001696650038
A3 on A,4.5644566302341785,14.445753325328967,2.512247824671965,1.185847774170532,-0.13669948540643304,-1.3055154489685394,62.591999769210815,0.16697251447698339,0.5019633003065889
A3 on A,1.5504556671862297,8.807032571638862,1.1878413841251674,1.423185202576132,0.010036769649518135,-1.340684200742213,64.87056112289429,0.16697251447698339,0.5019633003065889
D3 on D,6.258728991977737,-2.361159475040712,0.9252821200348222,-0.1282007176973999,-0.09918131486210383,-0.10147240055821019,68.84989619255066,0.17778048736146027,0.5344549098131582
D3 on D,0.44826789304881137,0.45630973070980796,0.4627031920838482,0.16629653781053727,0.0028718878336454886,-0.13229744982918662,71.14392638206482,0.17778048736146027,0.5344549098131582
D3 on D,0.7477704785510454,-4.664238826320506,1.2432137149533367,-0.15608128977125388,0.16425655342860723,0.4850034652895241,73.4131236076355,0.17778048736146027,0.5344549098131582
D3 on D,0.5843918480258594,0.6968957362235281,-0.13660422060839744,0.1027806173805556,-0.020187544934726683,-0.16968669900704414,75.69716835021973,0.17778048736146027,0.5344549098131582
D3 on D,0.6670769575724873,-5.224687191352729,1.3654950108393702,-0.14804048074695725,0.1688277856670694,0.4840140766706872,77.98384499549866,0.2670654414945733,0.4010158871242811
D3 on D,-0.8821508426239932,2.3063308312951953,-0.6113652097448896,0.25958146438788243,-0.040541769100158165,-0.3588799019949062,81.51381874084473,0.17778048736146027,0.5344549098131582
D3 on D,0.15635622694339152,-2.1527604756074674,0.7321030954585909,0.38934793008181573,0.1527943507360533,0.10962970114788517,83.80166506767273,0.17778048736146027,0.5344549098131582
A3 on A,-0.7188824179051656,2.805471994215859,-1.3459148080758032,0.7630547910523003,0.18481974024224776,-0.49559175343290074,87.78369450569153,0.16697251447698339,0.5019633003065889
A3 on A,0.3483116951089993,-5.684542526450968,-0.06725406666648981,-0.32449968616708635,0.178252352781302,0.5052290149580192,90.05968642234802,0.16697251447698339,0.5019633003065889
A3 on A,-1.1089744252292784,2.9223729426328684,-1.3708158861845985,0.5425674215980354,-0.12861809398782376,-0.7076137992498077,92.33410835266113,0.16697251447698339,0.5019633003065889
