event,string,bow_dir,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,from,to,q0,q1,q2,q3,q4,q5,timestamp
note,A,transition,0.35,0.4119999999999999,0.256,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0257756586316567,-0.10277933858926919,1.702746765650291,-3.9093511174706714,0.6675433034737881,-0.41862117646239216,32.62
note,A,transition,0.35,0.412,0.256,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0257756586316567,-0.10277933858926919,1.702746765650291,-3.9093511174706714,0.6675433034737881,-0.41862117646239216,32.63
note,A,transition,0.35,0.41200000000000003,0.256,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0257756586316567,-0.10277933858926919,1.702746765650291,-3.9093511174706714,0.6675433034737881,-0.41862117646239216,32.64
note,A,transition,0.35,0.412,0.256,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0257756586316567,-0.10277933858926919,1.702746765650291,-3.9093511174706714,0.6675433034737881,-0.41862117646239216,32.65
note,A,transition,0.35,0.412,0.256,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0257756586316567,-0.10277933858926919,1.702746765650291,-3.9093511174706714,0.6675433034737881,-0.41862117646239216,32.660000000000004
note,A,transition,0.35,0.412,0.256,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0257756586316567,-0.10277933858926919,1.702746765650291,-3.9093511174706714,0.6675433034737881,-0.41862117646239216,32.67
note,A,transition,0.35,0.412,0.256,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0257756586316567,-0.10277933858926919,1.702746765650291,-3.9093511174706714,0.6675433034737881,-0.41862117646239216,32.68
note,A,transition,0.35,0.412,0.256,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0257756586316567,-0.10277933858926919,1.702746765650291,-3.9093511174706714,0.6675433034737881,-0.41862117646239216,32.69
note,A,transition,0.35,0.412,0.256,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0257756586316567,-0.10277933858926919,1.702746765650291,-3.9093511174706714,0.6675433034737881,-0.41862117646239216,32.7
note,A,transition,0.35,0.41200000000000003,0.256,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0257756586316567,-0.10277933858926919,1.702746765650291,-3.9093511174706714,0.6675433034737881,-0.41862117646239216,32.71
note,A,transition,0.35,0.412,0.256,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0257756586316567,-0.10277933858926919,1.702746765650291,-3.9093511174706714,0.6675433034737881,-0.41862117646239216,32.72
note,A,transition,0.35,0.412,0.256,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0257756586316567,-0.10277933858926919,1.702746765650291,-3.9093511174706714,0.6675433034737881,-0.41862117646239216,32.730000000000004
note,A,transition,0.35,0.412,0.256,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0257756586316567,-0.10277933858926919,1.702746765650291,-3.9093511174706714,0.6675433034737881,-0.41862117646239216,32.74
