timestamp_robot,time_elapsed_sec,event_flag,event_label,current_event_type,current_note_number,current_note_name,current_string,remaining_duration_sec,TCP_pose_x,TCP_pose_y,TCP_pose_z,TCP_pose_rx,TCP_pose_ry,TCP_pose_rz,q_base,q_shoulder,q_elbow,q_wrist1,q_wrist2,q_wrist3,TCP_force_x,TCP_force_y,TCP_force_z,TCP_force_rx,TCP_force_ry,TCP_force_rz,current_note_event
9446.16,0.744,3,Playing d_bow...,Note,57,A3,A,0.754958,0.351228,0.668742,0.171858,-1.654634,-2.098866,1.060282,-2.327728,-0.553213,1.095815,-1.331138,-1.381974,-2.63868,0.452339,-1.930879,0.134132,0.186767,0.128846,0.165157,A
9446.168,0.752,3,Playing d_bow...,Note,57,A3,A,0.746958,0.351242,0.66944,0.171575,-1.654303,-2.099942,1.061459,-2.327121,-0.551386,1.092679,-1.329429,-1.382806,-2.638467,0.646057,-0.990863,-0.413631,0.184101,0.144812,0.170872,A
9446.176,0.76,3,Playing d_bow...,Note,57,A3,A,0.738958,0.351253,0.670164,0.171317,-1.653963,-2.101004,1.062768,-2.32649,-0.549544,1.089422,-1.327534,-1.383662,-2.638229,1.052068,-0.710029,-1.067718,0.174611,0.172234,0.194767,A
9446.184,0.768,3,Playing d_bow...,Note,57,A3,A,0.730958,0.351239,0.670905,0.171007,-1.653559,-2.102189,1.064111,-2.325819,-0.547609,1.08612,-1.325687,-1.384583,-2.638017,0.946062,-0.94733,-0.513511,0.181344,0.165649,0.183386,A
9446.192,0.776,3,Playing d_bow...,Note,57,A3,A,0.722958,0.351195,0.671678,0.170696,-1.653091,-2.103312,1.06567,-2.32509,-0.545646,1.082745,-1.323643,-1.385483,-2.637781,0.786105,-1.530741,-0.122671,0.190114,0.143868,0.164259,A
9446.216,0.8,3,Playing d_bow...,Note,57,A3,A,0.698958,0.351111,0.674091,0.169784,-1.651771,-2.106994,1.070106,-2.322878,-0.539498,1.072011,-1.317411,-1.388346,-2.637042,0.696506,-2.244911,-0.229255,0.204742,0.162217,0.16871,A
9446.224,0.808,3,Playing d_bow...,Note,57,A3,A,0.690958,0.351099,0.674945,0.169471,-1.651367,-2.108261,1.071516,-2.322115,-0.53731,1.068169,-1.315273,-1.389297,-2.636759,0.776217,-0.603569,-1.090579,0.180881,0.173688,0.18697,A
9446.232,0.816,3,Playing d_bow...,Note,57,A3,A,0.682958,0.351092,0.675806,0.169195,-1.650944,-2.109624,1.07293,-2.321352,-0.535138,1.064243,-1.313055,-1.390323,-2.636499,0.88393,-0.385449,-0.887576,0.184171,0.178155,0.191282,A
9446.32,0.904,3,Playing d_bow...,Note,57,A3,A,0.594958,0.3505,0.686409,0.16459,-1.644962,-2.125963,1.093116,-2.311584,-0.506805,1.015807,-1.285299,-1.403236,-2.63315,1.153514,-0.901095,-1.615982,0.174721,0.187668,0.172742,A
9446.328,0.912,3,Playing d_bow...,Note,57,A3,A,0.586958,0.350392,0.687482,0.164153,-1.644338,-2.127689,1.095094,-2.310559,-0.503972,1.010881,-1.282487,-1.404544,-2.632802,1.155342,-2.010758,-0.586262,0.188616,0.167492,0.159411,A
